ID,pH Tanah,N Total (%),P Tersedia (ppm),K Tersedia (meq/100g),C Organik (%),KTK (meq/100g),Kejenuhan Basa (%),Tekstur Tanah,Kadar Air (%),Bulk Density (g/cm³),Label
1439,6.4,0.464,15.07,0.436,3.66,43.16,99.11,Lempung,40.54,1.172,Subur
1440,5,0.189,2.07,0.222,0.21,9.88,54.25,Debu,16.61,1.647,Tidak Subur
1441,8.37,0.108,10.04,0.183,1.79,6.81,18.83,Pasir,56.17,1.899,Tidak Subur
1442,4.89,0.138,5.28,0.203,1.75,7.4,26.42,Debu,19.86,1.761,Tidak Subur
1443,9,0.147,2.11,0.266,0.71,15.81,27.1,,65.01,1.632,Tidak Subur
1444,6.84,0.359,38.55,0.72,4.79,22.95,82.55,Lempung,44.52,1.111,Subur
1445,4.95,0.138,6.84,0.089,1.05,12.06,35.58,,13.68,1.468,Tidak Subur
1446,5.28,0.061,,0.147,1.13,18.06,23.12,Pasir,17.46,1.483,Tidak Subur
1447,4.21,0.018,2.78,0.091,0.91,11.4,43.82,Debu,6.92,1.469,Tidak Subur
1448,8.8,0.184,12.04,0.164,0.87,16.71,11.99,,68.89,1.443,Tidak Subur
1449,5.23,0.145,,0.274,,16.91,28.06,Pasir,12.19,1.848,Tidak Subur
1450,6.43,0.217,,0.781,3.52,31.2,86.47,Lempung,,0.969,Subur
1451,8.89,0.188,1.31,0.068,1.38,12.85,11.54,Pasir,71.58,1.562,Tidak Subur
1452,7.38,,22.08,,2.36,32.58,86.68,Lempung,,1.169,Subur
1453,6.73,0.407,52.17,0.514,3.07,39.01,62.52,Lempung Berliat,43.86,1.049,Subur
1454,3.82,0.198,,0.161,1.72,5.37,51.78,Pasir,5.24,1.728,Tidak Subur
1455,7.62,0.058,10.25,,,10.06,24.59,Pasir,60.03,1.858,Tidak Subur
1456,8.58,0.068,12.28,0.17,,15.04,42.4,Liat,,1.552,Tidak Subur
1457,7.42,0.36,59.77,0.79,2.99,25.29,82.02,Lempung Berpasir,38.36,,Subur
1458,6.69,0.277,,0.542,4.8,21,95.27,Lempung Berpasir,30.4,0.982,Subur
1459,6.2,0.357,15.76,0.724,3.79,26.31,72.11,Lempung,29.75,1.14,Subur
1460,3.73,0.136,13.89,0.096,0.67,17.01,34.39,Liat,5.81,1.721,Tidak Subur
1461,5.36,0.012,12.59,0.103,1.48,16,25.96,Liat,,1.476,Tidak Subur
1462,7.79,0.078,,0.26,1.12,16.45,17.73,Pasir,65.8,1.715,Tidak Subur
1463,4.79,0.062,13.76,0.229,0.93,14.37,31.52,Debu,11.13,1.602,Tidak Subur
1464,6.42,0.412,53.86,0.326,3.06,36.56,75.34,Lempung Berliat,35.28,0.956,Subur
1465,6.93,0.471,37.53,0.53,4.99,35.98,98.21,Lempung Berliat,,,Subur
1466,4.39,0.189,13.49,0.118,1.4,18.74,19.43,Debu,9.64,1.758,Tidak Subur
1467,4.93,0.093,10.88,0.099,,13.36,21.47,Pasir,17.23,1.821,Tidak Subur
1468,6.23,0.424,,0.769,2.21,22.5,64.42,Lempung,30.17,0.96,Subur
1469,7.4,0.487,,0.788,,41.69,93.82,Lempung,39.25,0.923,Subur
1470,6.8,0.441,22.51,0.476,4.58,24.71,80.99,Lempung Berliat,33.18,1.099,Subur
1471,8.43,0.054,3.77,0.061,1.74,17.99,17.98,Debu,56.36,1.577,Tidak Subur
1472,7.61,0.12,13.79,0.07,1.11,9.68,40.04,Liat,73.7,1.436,Tidak Subur
1473,8.17,0.091,2.31,0.213,0.8,14.39,35.32,Liat,68.56,1.498,Tidak Subur
1474,5.19,0.014,,0.113,1.29,14.87,57.82,Liat,16.01,1.661,Tidak Subur
1475,6.23,0.254,47.03,0.407,2.32,26.63,93.04,Lempung Berpasir,42.92,0.976,Subur
1476,7.21,0.237,34.81,0.669,4.75,31.39,86.36,,39.62,1.081,Subur
1477,6.69,0.45,31.46,0.752,4.16,42.27,66.84,Lempung Berpasir,36.99,0.903,Subur
1478,8.62,0.063,8.69,0.168,1.61,7.48,45.16,,66.01,1.432,Tidak Subur
1479,4.56,0.073,9.13,0.091,1.56,11.58,22.15,Liat,12.02,1.783,Tidak Subur
1480,6.34,0.494,36.64,0.49,,44.91,97.26,Lempung,31.86,1.023,Subur
1481,6.81,0.248,54.71,0.407,4.14,27.05,86.88,Lempung Berpasir,35.6,1.159,Subur
1482,6.43,0.371,52,0.47,4.51,36.9,70.05,Lempung Berpasir,35.74,1.183,Subur
1483,8.18,0.101,11.57,,1.06,7.02,13.05,Liat,70.6,1.753,Tidak Subur
1484,6.67,0.278,44.99,,4.86,21.43,73.52,Lempung,41.18,0.96,Subur
1485,6.1,0.279,47.81,0.647,2.55,24.26,93.21,Lempung Berliat,27.26,1.074,Subur
1486,6.54,0.384,,0.614,4.44,41.45,72.12,Lempung,37.23,0.944,Subur
1487,6.19,,33.74,0.402,2.5,23.25,76.72,Lempung Berpasir,33.98,1.069,Subur
1488,6.41,,22.53,0.573,3.05,38.32,79.01,Lempung,,0.933,Subur
1489,6.5,0.388,43.55,0.703,3.13,37.71,99.01,Lempung,27.54,1.104,Subur
1490,6.23,0.223,38.25,0.507,,38.31,75.71,Lempung,33.36,1.028,Subur
1491,6.47,0.278,18.05,0.511,2.99,32.24,64.23,Lempung Berpasir,39.15,1.019,Subur
1492,4.38,0.092,4.7,,1.09,11.83,30.59,,19.19,1.761,Tidak Subur
1493,8.53,0.081,6.94,0.285,0.66,13.25,39.69,Debu,74.34,1.438,Tidak Subur
1494,7.04,0.256,51,0.406,3.72,33.55,69.63,Lempung,29.07,0.998,Subur
1495,7.07,,37.39,0.384,3.8,41.68,67.71,Lempung Berpasir,,0.917,Subur
1496,6.6,0.487,35.68,0.667,4.46,37.98,66.59,Lempung,33.23,,Subur
1497,3.67,0.094,5.27,0.136,1.03,10.69,49.42,Pasir,15.53,1.479,Tidak Subur
1498,8.39,0.07,1.56,0.23,0.63,17.67,16.7,Debu,71.06,1.486,Tidak Subur
1499,6.23,0.444,27.24,0.586,2.45,41.74,66.29,Lempung,36.37,1.089,Subur
1500,4.65,0.07,11.06,0.138,1.03,6.17,11.44,,,1.44,Tidak Subur
1501,8.84,0.119,12.79,0.103,0.63,6,47.36,Debu,71.13,1.618,Tidak Subur
1502,6.78,,34.95,0.309,3.16,21.37,98.99,Lempung,25.44,1.09,Subur
1503,8.43,0.153,2.69,0.254,0.9,11.34,24.64,Debu,65.14,1.696,Tidak Subur
1504,7.92,0.096,5.58,0.146,0.97,15.23,38.98,Pasir,72.8,1.813,Tidak Subur
1505,6.56,0.339,52.51,0.798,3.2,43.83,61.3,Lempung Berpasir,33.32,1.014,Subur
1506,3.83,0.122,4.15,0.277,1.31,12.88,33.14,,12.08,1.432,Tidak Subur
1507,4.34,0.062,8.12,0.207,0.41,9.79,13.74,Pasir,10.71,,Tidak Subur
1508,6.54,0.308,17.02,0.359,3.24,30.27,84.76,Lempung Berpasir,36.68,0.973,Subur
1509,8.7,0.165,4.81,0.11,0.97,16.18,38.6,Debu,66.9,1.458,Tidak Subur
1510,7.09,0.416,56.93,0.41,4.49,30.82,75.29,Lempung,25.81,1.124,Subur
1511,4.22,0.149,2.98,0.199,0.99,5.15,29.12,Debu,,1.59,Tidak Subur
1512,8.8,0.166,,0.232,1.11,17.55,36.15,Pasir,66.8,1.435,Tidak Subur
1513,7.44,0.447,46.6,0.304,4.63,44.05,70.78,Lempung,37.1,1.01,Subur
1514,6.42,0.462,52.27,0.527,4.34,23.28,97.85,Lempung Berpasir,30.05,1.063,Subur
1515,5.13,0.174,2.68,0.222,0.44,18.14,27.38,Pasir,14.44,1.486,Tidak Subur
1516,4.58,0.018,13.78,0.272,1.68,5.81,30.97,Pasir,13.6,,Tidak Subur
1517,7.29,0.273,25.17,0.745,4.28,36.18,63.12,,42.22,1.014,Subur
1518,7.45,0.464,35.62,,4.8,24.94,80.54,Lempung Berliat,27.55,1.146,Subur
1519,8.41,0.164,4.76,0.245,1.49,6.43,17.62,Pasir,65.13,1.84,Tidak Subur
1520,6.21,0.358,17.96,0.331,4.75,24.93,73.49,Lempung,,1.146,Subur
1521,6.26,0.427,28,0.492,2.47,30.8,96.74,Lempung Berliat,35.23,1.199,Subur
1522,4.47,0.099,10.29,0.283,,15.08,33.6,Liat,13.83,1.691,Tidak Subur
1523,3.83,0.177,2,0.175,0.75,16.58,53.31,Pasir,,1.632,Tidak Subur
1524,4.3,0.022,12.19,0.145,0.73,5.66,33.34,Liat,19.75,1.411,Tidak Subur
1525,6.02,0.374,25.25,0.31,4.72,37.18,86.32,Lempung Berliat,29.4,1.04,Subur
1526,7.41,0.451,22.34,0.572,4.69,25.02,84.07,Lempung Berpasir,36.93,1.193,Subur
1527,7.12,0.314,17.36,0.385,4.55,28.81,67.13,Lempung Berliat,36.68,0.967,Subur
1528,7.13,0.415,43.66,0.588,2.38,41.68,94.28,Lempung,44.14,0.907,Subur
1529,6.63,0.418,54.76,0.334,3.41,43.19,91.31,Lempung Berliat,38.03,1.06,Subur
1530,6.82,0.282,55.84,0.574,3.74,27.06,84.72,Lempung,27.62,0.963,Subur
1531,6.44,,44.87,0.692,2.69,41.45,63.58,,42.88,1.098,Subur
1532,7.39,0.248,30.18,0.639,4.33,23.61,87.77,Lempung,31.74,1.066,Subur
1533,7.21,0.412,30.73,0.438,4.97,29.49,69.43,Lempung Berliat,26.98,1.116,Subur
1534,6.27,0.431,15,0.758,2.37,23.23,61.51,Lempung,40.61,0.945,Subur
1535,8.71,0.173,10.91,0.24,1.02,5.46,30.42,Pasir,71.09,1.562,Tidak Subur
1536,6.52,0.491,19.29,0.541,,21.77,68.54,Lempung,31.58,1.061,Subur
1537,8.71,0.154,7.86,0.073,0.53,17.66,56.78,Liat,64.03,,Tidak Subur
1538,6.02,0.444,,0.799,2.43,31.09,72.58,Lempung Berliat,29.83,1.06,Subur
1539,7.3,0.412,29.64,0.773,4.86,22.74,97.38,Lempung Berpasir,35.54,0.983,Subur
1540,6.37,0.408,21.43,0.478,3.85,41.93,95.53,Lempung,,1.132,Subur
1541,7.34,0.242,46.85,0.515,3.38,30.94,99.97,Lempung Berliat,29.2,0.959,Subur
1542,8.45,0.143,12.23,0.174,1.42,7.74,43.43,Liat,55.28,1.444,Tidak Subur
1543,4.61,0.174,8.52,0.097,1.07,6.29,15.95,Debu,18.04,1.849,Tidak Subur
1544,3.94,0.189,9.83,0.095,1.16,12.6,47.47,Debu,11.74,1.485,Tidak Subur
1545,7.39,,,0.386,4.8,34.55,84.27,Lempung,38.39,1.174,Subur
1546,4.83,0.186,2.46,0.069,1.45,7.12,57.38,Liat,,1.542,Tidak Subur
1547,5.11,0.086,13.86,0.186,0.39,11.56,28.65,Pasir,19.92,1.623,Tidak Subur
1548,6.27,0.401,53.42,0.7,3.25,20.42,89.17,Lempung Berliat,36.33,1.063,Subur
1549,7.92,0.068,7.34,0.208,1.57,17.85,48.71,Liat,68.26,1.668,Tidak Subur
1550,7.34,0.34,31.89,0.512,3.69,42.88,88.59,Lempung Berliat,28.62,1.009,Subur
1551,7.48,0.389,19.53,0.521,2.76,36.91,67.49,Lempung,,0.951,Subur
1552,6.9,0.329,30.54,0.496,2.61,43.68,75.99,Lempung,35.39,1.071,Subur
1553,7.35,0.455,56.32,0.769,3.03,41.59,91.25,Lempung,38.8,1.072,Subur
1554,4.03,0.107,9.84,0.16,0.87,14.78,54.81,Liat,17.89,1.673,Tidak Subur
1555,6.55,0.41,58.38,0.432,4.05,41.09,66.87,Lempung Berpasir,37.09,0.999,Subur
1556,6.84,0.46,15.87,0.583,,38.97,60.64,Lempung Berpasir,36.71,1.035,Subur
1557,8.94,0.058,4.23,0.136,0.31,8.07,47.4,Liat,67.88,1.459,Tidak Subur
1558,6.52,0.341,56.82,0.731,4.58,44.36,76.81,Lempung,30.49,,Subur
1559,8.78,0.092,11.22,0.255,0.26,7.86,53.98,Liat,65.27,1.835,Tidak Subur
1560,6.79,0.375,55.49,0.502,4.69,28.05,81.88,Lempung,,1.144,Subur
1561,7.29,0.328,22.47,0.341,4.84,26.24,72,Lempung,43.67,1.08,Subur
1562,4.43,0.19,3.03,0.18,0.46,10.53,27.64,Liat,,,Tidak Subur
1563,4.32,0.155,6.06,0.255,1.17,18.49,41.11,Pasir,15.79,1.604,Tidak Subur
1564,8.52,0.059,9.12,0.233,0.9,10.34,46.45,Liat,65.73,1.712,Tidak Subur
1565,6.81,0.349,59.32,0.63,2.68,36.84,85.97,Lempung Berliat,28.28,1.2,Subur
1566,6.5,0.264,34.69,0.716,4.93,36.13,67.77,Lempung,40.1,1.006,Subur
1567,8.85,0.114,1.79,,0.85,14.35,50.54,Liat,63.24,1.482,Tidak Subur
1568,6.14,0.23,26.71,0.454,4.26,28.3,87.9,Lempung Berpasir,42.47,1.171,Subur
1569,4.55,,,0.066,1.17,16.47,15.51,Liat,18.44,1.842,Tidak Subur
1570,6.41,0.387,39.87,0.676,3.02,31.49,69.6,Lempung,31.81,1.041,Subur
1571,8.8,0.171,10.19,0.22,1.42,16.34,33.09,Debu,73.03,1.898,Tidak Subur
1572,8.2,0.191,10.57,0.137,,10.53,37.7,Pasir,71.78,1.624,Tidak Subur
1573,6.31,,17.11,0.713,4.54,41.74,65.16,Lempung,,1.144,Subur
1574,6.51,0.489,28.74,0.355,3.21,29.7,83.74,Lempung,25.14,1.029,Subur
1575,6.8,0.482,40.74,0.799,4.82,20.26,77.71,Lempung,30.18,1.049,Subur
1576,6.88,,40.98,0.731,,34.48,74.87,Lempung,44.89,1.049,Subur
1577,8.55,0.033,8.28,0.161,,10.62,25.39,Debu,,1.67,Tidak Subur
1578,7.76,0.124,5.27,0.241,0.3,12.7,33.58,Pasir,64.22,1.677,Tidak Subur
1579,8,0.067,5.04,0.053,0.33,9.89,37.45,Liat,69.69,1.774,Tidak Subur
1580,8.46,0.04,7.74,0.192,1.19,10.51,33.09,Debu,55.3,1.78,Tidak Subur
1581,7.22,,,0.493,4.69,39.19,89.09,Lempung,43.47,1.116,Subur
1582,8.02,0.084,5.47,0.28,1.49,12.36,24.44,Liat,68.23,1.57,Tidak Subur
1583,5.2,,5.2,0.212,0.56,18.23,13.1,Debu,18.52,1.459,Tidak Subur
1584,6.11,0.444,20.88,0.78,3.26,28.23,80.69,,26.7,1.194,Subur
1585,7.14,0.465,30.66,,4.55,38.91,88.93,Lempung,,1.081,Subur
1586,4.1,0.091,13.05,0.218,0.94,18.36,19.82,Pasir,,1.715,Tidak Subur
1587,5.27,0.06,,0.254,0.32,10.3,36.33,Liat,13.41,1.89,Tidak Subur
1588,6.46,0.262,30.63,0.666,4.66,21.04,65.3,,34.46,0.931,Subur
1589,8.2,0.172,,0.11,0.46,17.63,42.42,Debu,65.22,1.656,Tidak Subur
1590,4.71,0.08,2.94,0.093,0.79,13.6,57.27,Liat,18.03,1.57,Tidak Subur
1591,8.93,0.071,13.04,0.181,1.04,5.07,49.3,Liat,59.95,1.808,Tidak Subur
1592,6.17,0.444,,0.341,2.04,22.81,82.37,Lempung Berpasir,41.06,,Subur
1593,8.27,0.145,2.16,0.123,0.76,13.35,49.87,Pasir,,1.51,Tidak Subur
1594,6.97,0.325,24.54,0.608,2.57,44.07,65.4,Lempung,28.12,1.093,Subur
1595,8.52,0.024,4.12,0.148,1.08,9.54,38.12,Liat,69.65,1.545,Tidak Subur
1596,3.99,0.191,1.92,0.285,0.45,14.64,57.45,Liat,5.93,1.461,Tidak Subur
1597,8.83,0.13,9.7,0.196,0.76,11.86,52.58,Debu,63.03,1.402,Tidak Subur
1598,8.71,0.113,5.88,0.079,0.26,14.28,21.71,Liat,67.55,,Tidak Subur
1599,7.11,0.438,51.32,0.32,4.25,40.27,98.24,Lempung,,0.97,Subur
1600,7.71,,11.45,,0.54,12.04,49.81,Debu,63.17,1.783,Tidak Subur
1601,6.14,0.213,17.05,0.741,,42.28,88.54,,31.59,0.926,Subur
1602,6.85,0.231,,0.352,4.35,44.44,72.51,,35.14,1.094,Subur
1603,8.77,,5.66,,,13.52,34.1,Liat,57.21,1.492,Tidak Subur
1604,6.37,0.395,36.09,0.745,4.19,21.43,85.13,Lempung Berliat,36.03,1.178,Subur
1605,6.3,0.46,47.89,0.772,3.19,26.47,94.99,Lempung,41.52,1.069,Subur
1606,8.26,0.012,10.33,0.186,1.66,10.2,51.94,Liat,66.9,1.84,Tidak Subur
1607,7.23,0.414,30.32,0.598,4.35,41.04,64.59,Lempung,25.44,0.969,Subur
1608,7.91,0.114,12.5,0.178,0.97,11.88,13.86,Liat,66.62,1.641,Tidak Subur
1609,5.15,0.198,13.46,,,11.53,26.91,Debu,16.04,1.608,Tidak Subur
1610,6.95,0.329,28.5,0.411,2.57,34.95,75.61,Lempung,35.5,1.121,Subur
1611,6.15,0.42,21.81,0.79,4.38,44.25,94.95,Lempung,42.1,1.154,Subur
1612,6.94,0.25,43.62,,4.41,37.17,76.32,Lempung Berpasir,27.02,1.18,Subur
1613,4.68,0.145,2.24,0.205,0.77,13.16,41.33,Liat,15.11,1.469,Tidak Subur
1614,4.46,,7.96,0.061,1.51,12.41,12.23,Pasir,17.4,1.575,Tidak Subur
1615,7.44,0.437,39.44,0.385,4.64,28.99,90.65,Lempung,,1.008,Subur
1616,8.94,0.157,7.69,0.233,1.57,12.43,48.32,Debu,68.69,1.421,Tidak Subur
1617,8.41,0.029,10.5,0.273,0.76,11.83,21.61,Liat,59.24,1.537,Tidak Subur
1618,6.42,0.351,33.61,0.494,2.03,42.79,74.07,Lempung,26.74,0.989,Subur
1619,8.01,0.137,2.95,0.089,1.18,10.12,46.5,Pasir,66.27,1.83,Tidak Subur
1620,6.57,0.479,,0.404,4.44,21.23,77.99,Lempung,37.09,0.906,Subur
1621,8.92,0.141,9.6,0.238,1.14,6.39,34.17,Debu,74.35,1.633,Tidak Subur
1622,4.53,,2.32,0.252,0.62,8.37,58.05,Liat,6.49,1.713,Tidak Subur
1623,5.21,0.136,,0.27,1.66,8.61,22.38,Liat,9.74,1.465,Tidak Subur
1624,5.07,0.068,2.31,0.16,1.27,15.54,29.72,,18.64,1.611,Tidak Subur
1625,7.7,,1.02,0.118,,14.94,43.33,Debu,58.82,1.546,Tidak Subur
1626,8.91,0.126,4.04,0.283,1.62,8.53,35.06,,67.47,1.742,Tidak Subur
1627,5.23,0.092,13.27,0.174,0.46,18.85,30.36,Liat,14.54,1.781,Tidak Subur
1628,8.94,0.093,2.88,0.284,0.72,16.1,20,Liat,63.88,1.869,Tidak Subur
1629,7.06,0.487,50.67,0.448,,27.49,62.28,Lempung,40.27,1.135,Subur
1630,8.88,0.163,6.05,0.168,0.66,16.22,57.21,Liat,67.85,1.75,Tidak Subur
1631,6.55,0.449,,0.522,3.54,35.42,66.19,Lempung Berpasir,44.26,1.173,Subur
1632,6.78,0.396,47.8,0.763,3.07,27.72,81.63,Lempung Berpasir,37.9,1.123,Subur
1633,5.11,0.027,,0.107,0.98,10.93,25.3,Liat,5.99,1.806,Tidak Subur
1634,6.01,0.245,25.29,0.481,2.87,31.15,80.81,,44.86,1.125,Subur
1635,8.94,0.055,10.72,0.254,0.24,5.13,40.69,Debu,69.43,1.53,Tidak Subur
1636,6.99,0.357,24.21,0.74,4.09,36.73,67.64,Lempung,,,Subur
1637,6.61,0.317,58.51,0.789,2.59,30.47,68.61,Lempung,29.31,1.082,Subur
1638,6.22,0.412,,0.653,4.14,42.72,62.01,Lempung Berliat,,,Subur
1639,7.69,0.198,10.27,0.238,0.53,9.56,42.85,Pasir,55.46,1.752,Tidak Subur
1640,8.02,0.034,3.32,0.147,0.65,17.84,41.76,Debu,59.14,1.595,Tidak Subur
1641,7.09,0.432,55.19,0.331,4.82,31.6,87.33,Lempung Berliat,30.76,0.948,Subur
1642,3.53,0.041,5.52,0.289,0.73,6.54,33.37,Debu,,1.709,Tidak Subur
1643,4.83,0.115,9.68,0.225,0.37,5.46,26.6,Pasir,7.58,1.8,Tidak Subur
1644,8.62,0.062,3.74,0.173,0.39,15.64,53.36,Pasir,56.83,1.862,Tidak Subur
1645,6.76,0.479,46.32,0.517,2.52,28.31,96.24,Lempung Berpasir,25.95,1.115,Subur
1646,4.86,0.168,1.08,0.263,0.88,9.77,55.95,Pasir,7.15,1.615,Tidak Subur
1647,5.35,0.094,4.02,0.231,1.61,13.36,43.94,Pasir,8.63,1.51,Tidak Subur
1648,6.11,0.412,18.23,0.527,3.18,30.67,78.83,Lempung,42.47,0.954,Subur
1649,8.28,0.012,4.89,,,12.71,47.23,Liat,69.01,1.781,Tidak Subur
1650,4.26,0.157,3.28,0.072,1,10.86,57.26,Liat,9.57,1.68,Tidak Subur
1651,7.34,0.442,57.56,0.444,3.67,22.12,75.77,Lempung,38.86,0.995,Subur
1652,6.36,0.453,22.82,0.424,,25.04,81.61,Lempung,41.48,1.049,Subur
1653,7.24,0.424,29,0.463,3.07,26.19,94.93,Lempung,35.77,0.99,Subur
1654,8.04,0.056,1.24,0.072,0.41,13.25,27.89,Liat,63.21,1.889,Tidak Subur
1655,7,0.339,,0.674,3.62,30.86,73.49,Lempung,26.17,1.106,Subur
1656,8.46,0.074,5.88,0.183,0.33,8.88,44.5,Pasir,61.01,1.458,Tidak Subur
1657,5.19,0.081,8.73,0.066,1.3,12.19,21.57,Pasir,16.45,1.523,Tidak Subur
1658,8.8,0.138,,0.233,1.36,5.52,39.96,Pasir,61.12,1.478,Tidak Subur
1659,6.9,0.282,17.94,0.637,4.04,24.55,85.07,Lempung,38.87,1.049,Subur
1660,4.46,,3.74,0.28,,17.14,20.19,Pasir,,1.406,Tidak Subur
1661,8.26,0.158,8.47,0.271,0.97,18.08,27.79,Pasir,71.41,1.56,Tidak Subur
1662,3.99,0.153,13.38,0.241,1.51,5.24,27.77,Pasir,6.23,,Tidak Subur
1663,6.64,0.462,40.1,0.639,4.5,25.34,77.21,Lempung,,0.944,Subur
1664,6.48,0.246,52.32,0.359,3.52,22.08,60.72,Lempung Berliat,37.45,0.991,Subur
1665,3.94,0.032,2.46,0.121,0.83,7.36,10.32,Pasir,7.58,1.673,Tidak Subur
1666,6.44,0.389,39.26,0.373,2.44,42.87,92.27,Lempung Berpasir,31.44,1.115,Subur
1667,8.45,0.1,3.24,0.239,1.35,10.27,41.28,Liat,73.56,1.619,Tidak Subur
1668,6.35,0.41,29.92,0.551,2.61,25.11,90.69,Lempung,36.7,1.027,Subur
1669,8.58,0.161,1.41,0.149,,9.08,12.59,Liat,73.51,1.637,Tidak Subur
1670,8.75,0.116,13.4,0.099,,12.17,22.44,Debu,73.81,1.688,Tidak Subur
1671,6.73,0.488,55.95,0.737,4.07,39,81.63,Lempung Berpasir,41.97,1.122,Subur
1672,6.92,0.333,45.09,0.658,3.06,33.44,62.92,Lempung,40.06,1.2,Subur
1673,7.83,0.03,10.81,0.228,,10.73,17.29,Pasir,61.56,1.568,Tidak Subur
1674,6.21,0.3,55.16,0.51,3.24,33.94,66.26,Lempung Berpasir,40.17,1.106,Subur
1675,8.11,0.071,10.34,0.209,1.22,10.7,29.39,Liat,60.89,1.603,Tidak Subur
1676,3.98,0.12,13.6,0.131,0.24,15.45,54.62,Pasir,15.39,1.882,Tidak Subur
1677,4.37,,3.36,0.255,1.31,14.81,43.45,Liat,11.79,1.755,Tidak Subur
1678,7.36,0.415,30.08,0.615,2.35,27.74,83.19,Lempung Berpasir,35.68,,Subur
1679,6.06,0.465,,0.605,2.62,21.52,85.9,Lempung Berliat,33.87,1.165,Subur
1680,6.03,0.367,28.41,0.419,4.84,34.32,90.25,Lempung,41.54,1.045,Subur
1681,8.83,,2.21,0.112,1.88,17.49,56.75,Liat,,1.825,Tidak Subur
1682,8.14,0.042,8.19,0.207,1.18,9.4,46.45,,67.6,1.765,Tidak Subur
1683,6.78,0.486,30.7,0.702,4.8,26.5,73.36,Lempung Berliat,43.29,0.935,Subur
1684,7.88,0.139,7.26,0.217,1.66,18.95,25.41,Liat,,1.711,Tidak Subur
1685,6.95,0.396,48.94,0.644,4.23,35.36,87.92,Lempung Berpasir,27.47,1.151,Subur
1686,7.43,0.323,41.49,0.316,4.34,35.24,76.97,Lempung Berpasir,,0.93,Subur
1687,8.66,0.189,8.7,,1.03,5.75,43.65,Pasir,74.19,1.898,Tidak Subur
1688,3.77,0.146,12.43,0.154,0.25,6.52,42.01,Pasir,18.87,1.851,Tidak Subur
1689,6.91,0.441,,,2.31,36.22,80.49,Lempung Berpasir,31.07,1.007,Subur
1690,7.73,0.038,2.83,0.164,1.75,7.95,46.23,,55.9,1.889,Tidak Subur
1691,8.41,0.099,9.22,0.25,,9.61,13.1,,55.57,1.854,Tidak Subur
1692,6.76,0.221,33.43,0.799,2.74,43.95,68.14,Lempung Berpasir,36.67,1.068,Subur
1693,6.63,,56.44,0.416,3.35,21.12,92.78,Lempung Berliat,31.78,,Subur
1694,8.36,0.091,9.66,0.133,1.78,5.14,31.2,Pasir,,1.583,Tidak Subur
1695,6.86,0.34,44.58,0.755,4.16,35.71,71.85,Lempung Berpasir,42.61,1.145,Subur
1696,4.46,0.162,5.81,0.054,1.49,14.51,30.25,Pasir,,1.565,Tidak Subur
1697,6.88,0.401,40.62,0.6,2.41,27.92,70.72,Lempung,41.07,1.046,Subur
1698,4.43,0.174,3.52,0.17,0.82,13.71,16.06,Pasir,9,1.899,Tidak Subur
1699,7.23,0.409,54.2,0.478,2.38,36.92,91.52,Lempung Berpasir,29.82,1.119,Subur
1700,4.49,0.076,1.19,0.197,0.69,15.66,44.16,Pasir,9.9,1.845,Tidak Subur
1701,3.54,0.089,11.2,0.155,1.09,5.08,12.24,Debu,7.58,1.548,Tidak Subur
1702,6.76,0.278,,0.764,4.87,31.23,97.46,Lempung,37.81,0.962,Subur
1703,6.45,0.374,,0.569,4.49,39.16,95.04,Lempung,32.48,1.053,Subur
1704,7.41,,,0.755,3.33,39.96,82.32,Lempung Berpasir,28.93,0.932,Subur
1705,8.44,0.085,,0.161,1.52,8.69,30.06,Debu,69.25,1.425,Tidak Subur
1706,7.16,0.443,25.57,0.703,2.73,20.42,81.46,Lempung,37.97,1.081,Subur
1707,7.35,0.491,53.91,0.738,2.85,21.59,93.69,Lempung Berpasir,30.79,1.188,Subur
1708,8.12,0.178,7.99,0.209,1.38,14.49,14.7,,69.28,1.654,Tidak Subur
1709,6.16,0.431,,0.41,2.54,44.89,78.62,Lempung Berliat,31.39,1.181,Subur
1710,7.19,0.355,18.19,0.696,3.18,28.58,67.8,Lempung Berpasir,25.53,0.924,Subur
1711,6.54,0.41,38.25,0.571,4.72,20.55,72.79,Lempung,28.79,1.07,Subur
1712,7.78,0.16,,0.145,0.67,13.04,15.91,Liat,,1.655,Tidak Subur
1713,6.15,0.258,30.33,0.334,2.37,26.1,87.37,Lempung,34.98,1.106,Subur
1714,6.48,0.46,58.52,,4.09,21.41,60.16,Lempung Berpasir,27.36,1.097,Subur
1715,3.82,0.053,8.56,0.252,1.67,15.69,24.18,Liat,15.82,1.893,Tidak Subur
1716,6.24,0.216,34.01,0.397,2.38,36.07,96.8,Lempung Berpasir,43.74,1.08,Subur
1717,5.35,0.129,13.87,0.137,,10.16,18.31,Liat,14.26,,Tidak Subur
1718,6.63,0.4,56.38,0.452,2.26,34.89,66.26,Lempung,25.84,0.904,Subur
1719,6.64,0.248,17.86,0.55,2.75,39.95,66.67,Lempung Berpasir,29.32,1.047,Subur
1720,4.15,0.159,,0.155,0.78,5.32,29.25,Debu,16.67,1.842,Tidak Subur
1721,8.51,0.051,1.71,0.106,1.11,10.38,33.19,Liat,57.67,1.69,Tidak Subur
1722,8.42,0.195,4.53,0.245,0.47,8.26,17.7,Pasir,64.82,1.453,Tidak Subur
1723,8.35,0.199,11.36,,1,5.62,57.71,Pasir,71.33,1.632,Tidak Subur
